"点击这里以选择指标，然后再点击""更新""或""下载编辑""按钮更新或新增及移除数列",单位,平均,方差,标准差,偏度,峰度,变异系数,最小,最大,中位数,观测次数,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
人口数:地级市合计,千人,1155705.24,16475638442,128357.4635,-0.962224494,-0.320648438,0.111064188,897719.2,1291941.9,1194579.1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932242.00,897719.20,928435.00,974268.80,1087292.50,1102970.40,1137724.30,1166348.00,1178241.10,1190400.30,1198757.90,1212172.10,1224498.40,1233763.20,1247766.70,1269666.00,1272503.00,1277856.00,1289538.00,1291941.90,,,
人口数:北京:户籍,千人,12312.26316,784406.3158,885.6671586,0.047144809,-1.348931308,0.071933742,10998,13629,12299,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10998.00,11075.00,11205.00,11363.00,11488.00,11629.00,11807.00,11976.00,12133.00,12299.00,12458.00,12578.00,12779.00,12975.00,13163.00,13334.00,13452.00,13629.00,13592.00,
人口数:北京:常住,千人,14136.07317,19736764.87,4442.607891,0.598526624,-1.093076217,0.31427454,8715,21729,12572,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8715.00,8971.00,9043.00,9192.00,9350.00,9500.00,9650.00,9810.00,10280.00,10470.00,10610.00,10750.00,10860.00,10940.00,11020.00,11120.00,11250.00,12511.00,12594.00,12400.00,12456.00,12572.00,13636.00,13851.00,14232.00,14564.00,14927.00,15380.00,16010.00,16760.00,17710.00,18600.00,19619.00,20186.00,20693.00,21148.00,21516.00,21705.00,21729.00,21707.00,21542.00
人口数:天津:户籍,千人,9825.35,236893.7297,486.7172996,0.36716399,-0.667307311,0.049536892,9139.8,10816.3,9823.45,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9139.80,9190.50,9260.00,9325.50,9393.10,9488.80,9591.00,9688.70,9798.40,9848.50,9964.40,9932.00,10039.70,10166.60,10269.10,10444.00,10499.90,10816.30
人口数:天津:常住,千人,11106.05758,6160341.038,2482.003432,0.812254296,-0.820022962,0.223481953,8190,15621.2,10071.8,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8190.00,8310.00,8430.00,8560.00,8840.00,9090.00,9200.00,9280.00,9350.00,9420.00,9481.90,9525.90,9566.40,9594.80,10011.40,10040.60,10071.80,10113.00,10236.70,10430.00,10750.00,11150.00,11760.00,12281.60,12992.90,13545.80,14131.50,14722.10,15168.10,15469.50,15621.20,15568.70,15596.00
人口数:河北:石家庄:户籍,千人,9543.8,522606.245,722.9151022,-0.398435001,-1.839593484,0.075747093,8545.8,10380,9891.6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8545.80,8601.90,8672.70,8754.00,8898.00,,,,,,,,,,9891.60,9973.00,10053.00,10032.00,10249.00,10288.40,10380.00,9730.00,
人口数:河北:石家庄:常住,千人,9956.210497,493280.8611,702.3395625,-0.022282239,-1.630071278,0.07054286,8959.4,10951.6,9974.55,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8959.40,9039.90,9105.10,9175.50,9273.00,9395.00,9550.50,9664.80,9774.10,10175.00,10279.80,10385.99,10499.80,10616.20,10701.60,10784.60,10879.90,10951.60
人口数:河北:唐山:户籍,千人,7218.754545,58849.81974,242.5898179,0.038761516,-1.346008235,0.033605495,6841.3,7596,7218.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6841.30,6883.40,6901.30,6940.90,6997.90,7001.50,7026.70,7062.80,7100.70,7145.10,7191.20,7246.60,7294.10,7339.00,7350.00,7370.70,7417.80,7474.00,7531.60,7550.00,7596.00,7550.00,
人口数:河北:唐山:常住,千人,7736.989169,11946.74574,109.3011699,0.031949269,-1.184631468,0.014127094,7582,7897,7738.1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7582.00,7627.40,7668.51,7708.00,7768.20,7801.20,7843.60,7897.00,
人口数:河北:秦皇岛市:户籍,千人,2217.3016,286246.2548,535.019864,-0.186948889,-1.271836992,0.24129323,1275.8,3000.8,2242.55,70,1275.80,1302.30,1320.30,1346.20,1366.50,1419.30,1440.20,1480.80,1519.00,1526.60,1556.20,1546.30,1536.50,1586.00,1642.00,1688.40,1727.80,1765.80,1799.00,1827.50,1866.20,1905.00,1936.20,1966.00,1988.30,1997.80,2012.40,2026.30,2046.10,2069.50,2095.00,2121.40,2160.70,2205.30,2230.00,2255.10,2281.60,2312.40,2353.20,2394.10,2431.70,2465.70,2491.90,2522.10,2547.10,2571.10,2599.60,2611.60,2618.70,2629.30,2644.10,2662.90,2682.00,2704.60,2732.90,2758.20,2786.40,2805.40,2833.10,2858.50,2872.40,2883.00,2898.00,2912.00,2927.00,2951.00,2956.40,2975.01,2983.50,3000.80
